Respondent_ID,Gender,Age_Group,I get a better understanding of the story when reading news in print rather than online,"I trust news stories more when they are in printed newspapers, rather than when they are online","In the future, I intend to read more news online",I would be concerned if printed newspapers were to disappear,I spend too much time on electronic devices,I suffer from a digital overload,"I am concerned that the overuse of electronic devices could be damaging to my health (eyestrain, sleep deprivation, headaches)","I am increasingly concerned that my personal information held electronically is at risk of being hacked, stolen, lost or damaged","I think children and students learn more when reading printed, rather than digital, books and course materials"
504,Female,25-34,3,3,4,1,3,4,3,5,5
505,Female,45-54,3,3,3,5,5,3,3,2,5
506,Female,55-64,1,1,3,4,3,4,4,4,3
507,Female,25-34,2,4,2,2,5,2,5,2,4
508,Male,35-44,4,4,3,3,5,2,2,2,4
509,Male,65+,4,3,2,3,3,1,2,5,4
510,Male,18-24,3,5,2,4,4,3,4,2,5
511,Female,65+,4,5,3,4,5,5,3,3,4
512,Female,25-34,4,3,4,1,1,2,4,4,3
513,Female,25-34,3,4,4,4,5,4,2,4,5
514,Female,45-54,4,3,4,3,4,4,2,4,4
515,Male,25-34,3,3,5,5,4,2,3,3,5
516,Female,18-24,5,4,4,4,5,4,4,5,3
517,Female,25-34,3,3,5,3,4,2,2,4,5
518,Male,65+,3,3,2,3,2,3,4,5,4
519,Female,55-64,3,1,4,1,3,3,2,4,4
520,Male,55-64,3,1,4,5,5,1,3,4,3
521,Male,25-34,5,4,4,4,1,3,3,5,4
522,Male,65+,3,5,3,5,3,4,1,3,4
523,Male,65+,3,4,4,4,2,2,2,3,3
524,Male,35-44,3,2,4,3,4,5,4,5,5
525,Female,35-44,3,2,2,3,2,1,5,5,2
526,Male,25-34,3,2,4,2,2,2,1,3,2
527,Female,25-34,5,5,3,2,3,4,5,3,4
528,Female,55-64,1,2,5,4,2,4,2,4,4
529,Female,25-34,4,4,3,2,4,3,4,4,3
530,Female,25-34,4,5,3,3,5,2,2,4,1
531,Female,45-54,3,4,3,4,5,1,5,4,3
532,Female,55-64,5,3,4,4,1,5,5,1,3
533,Female,18-24,2,2,4,5,1,4,3,2,5
534,Female,25-34,2,1,5,4,4,1,4,3,2
535,Male,55-64,3,2,4,3,2,1,4,2,4
536,Female,55-64,3,3,2,4,5,2,1,3,3
537,Male,25-34,1,2,4,3,1,3,5,3,3
538,Female,65+,4,2,3,3,1,2,5,3,3
539,Female,35-44,1,2,5,4,4,2,5,3,5
540,Female,35-44,5,3,4,4,2,3,4,4,3
541,Male,25-34,4,2,5,4,5,3,3,5,3
542,Male,55-64,3,4,2,3,1,1,4,4,2
543,Female,25-34,5,4,3,4,4,1,3,1,4
544,Male,35-44,4,2,4,5,3,2,4,5,5
545,Female,55-64,1,2,2,4,5,3,2,3,3
546,Female,25-34,2,2,3,5,5,4,4,2,3
547,Male,35-44,3,4,4,5,4,2,5,3,3
548,Female,35-44,3,4,3,5,4,2,4,4,5
549,Male,65+,5,2,4,3,1,1,3,2,4
550,Female,65+,3,3,3,1,3,2,3,4,3
551,Male,45-54,4,4,2,5,4,3,2,2,5
552,Female,35-44,4,4,3,2,3,2,3,5,3
553,Male,45-54,3,2,3,4,3,1,3,2,2
554,Female,65+,4,2,1,5,4,2,4,4,3
555,Female,18-24,4,3,3,4,3,3,4,2,4
556,Female,18-24,4,3,4,5,4,4,5,4,5
557,Female,35-44,4,4,4,4,2,1,4,5,3
558,Male,25-34,3,3,5,4,2,3,2,1,5
559,Female,45-54,2,3,3,4,3,3,4,4,2
560,Female,45-54,2,3,4,2,3,5,5,3,2
561,Male,18-24,3,1,3,1,4,3,5,5,5
562,Male,45-54,5,1,2,3,2,3,3,3,4
563,Male,35-44,3,4,5,4,4,2,5,4,3
564,Female,35-44,5,4,3,4,4,3,2,4,3
565,Female,18-24,4,2,3,4,5,2,4,4,1
566,Female,18-24,3,2,5,3,2,1,5,4,5
567,Female,25-34,5,3,4,4,4,2,3,5,3
568,Male,65+,4,3,4,3,2,3,3,3,4
569,Male,45-54,3,4,4,3,1,4,3,4,3
570,Female,25-34,3,2,3,2,5,4,5,2,3
571,Female,35-44,3,4,4,4,2,2,4,4,1
572,Male,45-54,5,1,3,5,3,3,4,4,3
573,Female,25-34,2,2,5,1,4,4,3,5,4
574,Female,18-24,5,2,3,3,5,2,2,5,3
575,Female,35-44,4,4,4,4,4,1,3,4,5
576,Female,65+,4,3,3,1,4,2,1,5,3
577,Male,18-24,4,4,4,4,4,3,2,4,5
578,Female,45-54,5,3,3,4,1,3,1,2,3
579,Female,35-44,5,2,2,3,4,2,4,4,5
580,Male,55-64,3,4,4,1,5,3,3,4,4
581,Male,35-44,3,2,4,1,4,4,5,4,4
582,Male,55-64,3,3,3,5,4,4,3,3,3
583,Female,65+,3,3,3,5,2,1,2,3,5
584,Female,45-54,2,3,5,3,3,5,5,5,3
585,Male,35-44,3,4,4,3,3,4,4,4,3
586,Female,25-34,3,5,1,3,5,3,4,3,3
587,Male,45-54,4,3,4,5,4,2,4,5,4
588,Male,55-64,5,3,4,3,4,2,2,3,4
589,Female,45-54,3,3,4,3,3,2,3,4,4
590,Female,35-44,4,3,4,4,4,2,4,5,3
591,Male,35-44,2,3,3,4,4,1,4,2,4
592,Female,45-54,3,3,4,3,5,3,4,4,3
593,Female,35-44,3,3,3,5,3,3,4,4,5
594,Female,65+,3,3,3,5,1,1,1,4,5
595,Female,18-24,3,5,3,3,3,1,1,3,4
596,Female,18-24,3,3,3,4,4,4,3,4,3
597,Female,35-44,3,2,4,2,5,4,4,4,4
598,Male,25-34,4,4,4,2,4,5,4,4,4
599,Female,18-24,3,3,2,4,4,2,3,1,3
600,Male,55-64,3,3,3,5,3,2,3,3,3
601,Female,35-44,2,4,3,2,2,4,5,4,4
602,Male,55-64,3,5,3,2,4,3,3,4,5
603,Female,35-44,3,4,4,5,4,5,3,5,5
604,Male,25-34,1,3,4,3,5,3,4,4,4
605,Female,35-44,4,1,4,5,3,2,4,5,3
606,Female,35-44,3,4,3,4,4,2,4,3,3
607,Male,25-34,3,3,3,4,4,1,3,4,4
608,Male,25-34,3,3,3,3,4,4,5,5,3
609,Female,25-34,2,4,4,3,4,3,5,4,5
610,Male,35-44,3,3,3,3,2,4,5,5,2
611,Female,45-54,4,4,2,3,4,4,3,2,3
612,Female,35-44,3,2,4,3,5,4,3,4,4
613,Female,35-44,5,3,4,3,2,4,3,3,3
614,Male,35-44,4,4,3,3,3,2,3,4,4
615,Male,18-24,3,4,4,4,4,3,4,3,4
616,Male,25-34,1,3,3,4,2,1,3,3,4
617,Male,55-64,5,3,3,3,2,2,5,3,3
618,Male,55-64,3,3,2,4,3,1,4,4,3
619,Male,35-44,3,4,4,5,3,3,5,4,3
620,Female,25-34,4,4,4,4,3,4,3,4,2
621,Female,65+,5,5,4,1,5,4,1,4,3
622,Female,25-34,4,1,2,4,3,2,4,4,4
623,Female,35-44,4,4,4,4,5,4,3,4,3
624,Male,45-54,3,2,5,3,4,1,4,5,5
625,Male,45-54,2,4,4,1,4,3,1,3,5
626,Female,65+,5,3,3,4,3,1,3,3,4
627,Male,55-64,3,2,5,4,2,3,4,3,4
628,Male,25-34,4,1,4,3,3,3,5,3,2
629,Female,45-54,2,3,3,2,2,2,4,4,4
630,Male,18-24,5,2,2,3,2,3,3,4,3
631,Female,35-44,3,3,3,3,4,4,4,3,3
632,Female,45-54,2,1,3,4,5,3,5,4,2
633,Female,35-44,4,2,4,2,5,2,5,5,4
634,Male,55-64,4,1,3,4,4,4,2,4,3
635,Female,35-44,4,3,3,3,4,3,3,2,2
636,Male,35-44,3,2,4,3,5,4,2,3,3
637,Male,18-24,3,3,5,2,4,4,3,2,3
638,Male,25-34,1,3,2,3,5,4,5,3,3
639,Male,45-54,3,4,2,3,3,3,3,2,3
640,Female,45-54,5,2,3,3,4,2,2,3,3
641,Male,25-34,2,3,3,5,3,4,2,2,2
642,Male,45-54,4,1,4,5,4,2,4,3,4
643,Male,35-44,4,4,4,4,5,2,4,3,4
644,Female,25-34,4,3,3,2,4,3,5,4,3
645,Female,25-34,2,4,2,4,3,2,4,4,3
646,Male,18-24,4,3,3,4,4,5,4,4,3
647,Male,55-64,4,2,3,3,3,2,3,3,2
648,Female,55-64,2,2,4,4,3,2,3,5,3
649,Male,35-44,1,5,3,5,4,3,2,2,3
650,Female,45-54,3,2,4,2,2,3,2,3,5
651,Male,45-54,3,3,5,4,5,1,1,3,2
652,Male,18-24,4,3,4,5,3,2,1,5,3
653,Male,45-54,4,2,4,4,3,4,3,4,4
654,Female,25-34,3,4,3,3,2,4,4,3,4
655,Female,25-34,4,4,1,3,4,4,4,3,2
656,Female,25-34,5,5,5,1,4,5,4,4,3
657,Male,25-34,4,3,4,2,2,3,5,4,3
658,Female,35-44,3,4,1,3,5,4,4,4,3
659,Male,18-24,5,3,3,4,5,3,4,5,5
660,Male,55-64,2,3,3,1,1,4,1,4,3
661,Female,45-54,5,3,3,5,5,4,4,3,4
662,Female,45-54,4,2,4,5,2,3,2,3,2
663,Female,45-54,2,3,3,4,4,3,1,4,3
664,Female,35-44,5,4,4,2,4,3,2,4,5
665,Female,55-64,5,3,2,1,2,2,4,4,4
666,Female,25-34,2,4,5,3,3,3,3,3,5
667,Female,55-64,3,3,1,2,5,2,4,3,3
668,Male,25-34,4,4,5,5,2,4,4,2,3
669,Female,25-34,2,2,5,3,4,1,4,5,4
670,Male,35-44,3,2,2,4,5,4,3,5,5
671,Male,45-54,5,3,3,2,3,4,2,4,4
672,Male,18-24,4,5,2,4,4,5,5,3,4
673,Female,55-64,1,3,4,5,2,4,4,3,4
674,Female,45-54,3,3,4,3,5,2,5,2,3
675,Female,45-54,3,4,3,4,5,2,3,3,3
676,Male,55-64,3,3,3,5,2,4,4,3,3
677,Male,35-44,3,3,3,4,3,1,2,3,5
678,Male,55-64,3,1,3,4,2,2,2,4,4
679,Male,35-44,2,3,4,3,3,2,2,3,3
680,Male,18-24,1,2,4,5,4,3,4,2,3
681,Male,25-34,5,2,2,4,3,2,2,4,3
682,Female,25-34,3,4,3,4,3,4,4,5,4
683,Male,35-44,3,3,1,3,4,3,3,3,1
684,Female,25-34,5,4,3,3,2,2,5,3,4
685,Male,55-64,3,2,3,1,3,1,2,4,3
686,Female,35-44,2,4,3,4,1,3,4,3,4
687,Female,35-44,3,3,5,3,4,3,4,2,4
688,Female,55-64,3,3,4,1,4,3,4,5,3
689,Female,45-54,1,3,3,3,5,3,4,3,3
690,Female,25-34,2,2,3,4,4,3,4,3,4
691,Male,45-54,3,1,4,2,1,3,4,4,5
692,Female,55-64,2,3,4,4,2,3,4,4,3
693,Male,65+,4,4,2,1,3,3,2,3,5
694,Female,55-64,4,1,3,3,4,2,1,3,3
695,Male,25-34,2,5,3,4,2,5,3,5,5
696,Male,18-24,4,2,3,3,3,4,4,4,2
697,Female,45-54,4,3,3,2,2,1,4,3,4
698,Female,55-64,3,2,3,5,3,2,2,4,3
699,Male,65+,4,3,4,5,2,2,4,3,4
700,Female,55-64,2,2,4,4,4,2,4,5,3
701,Male,45-54,1,4,3,4,3,4,2,4,3
702,Female,18-24,4,3,4,4,3,3,5,4,3
703,Female,25-34,2,5,3,4,4,2,5,4,4
704,Female,45-54,2,3,2,3,4,1,3,4,3
705,Male,45-54,4,3,5,3,2,4,5,3,4
706,Female,45-54,2,4,1,3,4,4,2,4,3
707,Female,65+,3,3,1,2,4,2,4,3,3
708,Male,55-64,3,5,5,4,4,1,2,4,3
709,Female,25-34,4,5,4,2,5,3,2,4,4
710,Female,25-34,2,5,3,2,3,4,4,4,3
711,Female,45-54,3,4,4,4,3,1,1,3,3
712,Male,35-44,2,3,3,5,5,1,4,5,3
713,Male,35-44,4,4,3,3,3,1,4,4,3
714,Female,18-24,4,2,4,3,1,3,5,4,5
715,Female,65+,4,2,4,5,2,2,4,5,3
716,Male,25-34,4,3,3,2,5,2,4,4,3
717,Female,65+,1,4,1,4,4,3,2,4,3
718,Female,35-44,2,2,3,4,5,4,3,2,3
719,Female,45-54,1,5,4,4,1,4,2,2,4
720,Male,55-64,3,2,3,5,4,3,4,5,5
721,Male,55-64,3,2,3,1,3,4,4,2,4
722,Female,55-64,3,1,3,4,4,1,2,3,3
723,Female,45-54,3,4,1,3,4,4,4,2,1
724,Male,45-54,4,3,4,1,4,2,5,4,4
725,Female,18-24,3,2,4,4,4,3,4,4,5
726,Male,55-64,2,2,3,5,2,3,4,2,4
727,Female,65+,3,4,2,3,1,3,3,4,4
728,Female,45-54,4,2,4,3,2,2,3,3,3
729,Male,25-34,3,2,4,3,5,3,4,1,3
730,Female,35-44,4,2,3,4,3,2,5,4,5
731,Male,25-34,2,4,4,4,4,5,4,4,4
732,Female,35-44,2,5,3,3,5,4,3,5,5
733,Female,45-54,3,4,4,3,4,1,3,4,5
734,Female,25-34,3,4,3,4,4,4,4,3,1
735,Female,35-44,4,2,1,4,4,4,4,4,3
736,Male,18-24,1,5,4,4,4,5,5,4,4
737,Male,45-54,1,5,4,5,2,1,3,4,4
738,Female,25-34,2,4,4,3,5,4,2,4,4
739,Male,35-44,5,5,4,4,5,5,3,3,3
740,Male,25-34,2,3,4,3,5,1,5,4,4
741,Male,35-44,3,3,4,5,4,3,4,5,5
742,Female,25-34,2,3,2,3,3,4,4,4,3
743,Male,65+,3,3,1,1,4,2,3,4,4
744,Female,18-24,4,5,2,4,5,1,5,5,2
745,Male,65+,3,1,3,3,2,1,2,5,5
746,Female,55-64,4,4,2,4,4,4,3,3,4
747,Female,55-64,3,4,4,5,3,3,4,3,3
748,Male,45-54,3,3,3,3,4,2,4,4,5
749,Male,45-54,1,3,5,3,5,4,3,3,2
750,Male,45-54,4,3,3,5,4,1,4,3,5
751,Female,55-64,4,2,2,4,2,3,4,4,5
752,Female,25-34,2,4,4,3,4,4,3,4,4
753,Male,25-34,3,4,4,3,4,3,2,2,3
754,Male,35-44,3,1,4,3,5,2,4,4,3
755,Female,25-34,4,1,3,4,2,5,4,2,1
756,Female,18-24,5,4,4,4,4,3,5,3,4
757,Female,65+,5,3,3,5,4,3,3,4,2
758,Female,35-44,3,3,3,5,5,4,4,3,4
759,Male,35-44,3,3,3,4,3,4,3,5,4
760,Female,65+,3,3,3,4,1,2,4,4,3
761,Male,45-54,4,5,4,1,4,3,4,3,3
762,Female,55-64,4,3,3,4,3,3,2,4,5
763,Male,18-24,3,3,3,4,5,4,3,5,3
764,Male,25-34,5,5,4,3,3,4,5,4,5
765,Female,35-44,2,3,3,3,4,2,2,5,4
766,Female,65+,2,5,2,2,3,1,3,2,3
767,Male,25-34,5,3,4,3,4,1,3,4,2
768,Male,65+,2,3,4,4,3,3,2,5,4
769,Female,25-34,4,3,5,3,5,2,5,2,3
770,Female,55-64,2,4,2,4,3,4,2,4,3
771,Female,35-44,4,3,4,4,5,4,5,5,5
772,Male,25-34,3,1,4,5,3,3,3,2,5
773,Male,35-44,1,2,3,3,2,3,3,3,5
774,Female,25-34,3,1,3,4,4,5,1,4,5
775,Female,65+,4,3,2,3,2,2,2,3,5
776,Female,25-34,5,3,4,2,2,4,3,4,4
777,Female,35-44,3,5,4,4,4,1,3,4,1
778,Male,35-44,3,2,4,1,3,3,4,4,3
779,Male,35-44,3,3,4,1,4,2,3,4,4
780,Male,45-54,3,3,4,5,1,1,3,4,4
781,Female,45-54,3,2,3,3,5,1,2,4,3
782,Male,55-64,4,1,3,5,4,2,3,5,5
783,Male,55-64,5,3,4,5,4,3,3,2,2
784,Female,65+,1,5,4,4,2,1,2,4,4
785,Female,55-64,3,1,3,4,5,1,4,3,3
786,Male,35-44,3,3,3,5,4,4,3,5,3
787,Male,35-44,3,1,3,2,4,3,2,5,3
788,Female,55-64,4,2,1,4,3,3,4,3,4
789,Female,45-54,4,4,4,1,4,4,1,3,3
790,Female,65+,3,3,2,5,2,2,3,4,3
791,Female,55-64,4,4,3,4,4,1,3,4,3
792,Female,25-34,2,1,2,3,5,1,2,3,2
793,Male,45-54,5,4,2,3,2,3,2,5,2
794,Female,25-34,3,4,4,3,5,2,4,4,4
795,Female,18-24,2,2,3,4,5,5,3,4,3
796,Male,55-64,4,2,4,4,4,3,4,4,4
797,Male,25-34,3,3,1,4,2,2,4,4,3
798,Male,35-44,5,2,3,2,5,1,4,3,3
799,Female,55-64,1,3,2,1,3,1,4,4,4
800,Female,65+,5,2,4,4,3,3,1,4,5
801,Male,65+,5,3,4,5,2,2,4,4,4
802,Female,35-44,4,5,4,2,4,1,3,2,3
803,Male,25-34,4,3,5,4,1,2,4,4,4
804,Male,25-34,2,4,3,4,2,1,1,2,4
805,Female,45-54,5,4,4,4,4,2,2,2,3
806,Male,45-54,4,2,5,2,2,3,3,4,1
807,Female,25-34,3,2,4,3,4,4,4,4,3
808,Male,18-24,1,3,4,4,5,3,4,3,4
809,Female,35-44,4,4,5,4,2,4,2,4,2
810,Male,65+,4,3,3,2,2,3,3,5,5
811,Female,45-54,5,2,2,5,4,4,5,4,3
812,Male,65+,3,3,4,5,4,1,3,2,5
813,Male,35-44,3,4,3,4,3,2,3,3,4
814,Male,35-44,5,4,3,4,3,4,4,2,5
815,Male,18-24,3,3,3,2,3,1,4,5,5
816,Male,25-34,4,5,2,1,5,2,4,3,1
817,Male,45-54,5,3,4,2,1,2,4,3,4
818,Female,65+,5,5,3,3,4,2,2,3,4
819,Female,25-34,3,2,3,3,5,3,2,3,3
820,Male,35-44,4,3,3,2,3,4,3,2,3
821,Male,25-34,5,4,2,3,3,4,3,5,3
822,Female,45-54,5,5,3,5,4,3,4,2,3
823,Female,35-44,4,4,5,3,4,3,4,3,1
824,Female,65+,4,2,3,4,2,3,1,3,5
825,Male,35-44,3,3,4,3,2,4,4,4,3
826,Male,65+,4,3,2,2,3,2,3,3,5
827,Male,55-64,3,3,3,5,3,3,3,4,5
828,Female,55-64,5,3,2,3,4,2,2,5,3
829,Male,35-44,2,5,3,5,4,4,4,3,4
830,Female,65+,5,3,2,1,4,5,4,3,5
831,Female,55-64,2,2,5,4,3,2,3,1,3
832,Female,45-54,5,3,3,4,1,3,4,4,4
833,Male,35-44,4,4,5,3,3,3,4,5,5
834,Male,65+,4,5,4,5,3,2,3,1,2
835,Male,25-34,3,2,2,3,2,4,5,3,2
836,Male,25-34,5,3,5,3,4,1,3,4,3
837,Male,45-54,3,5,2,4,4,2,3,4,2
838,Male,45-54,4,5,2,4,1,3,3,2,3
839,Female,35-44,2,4,4,4,4,1,5,4,3
840,Male,55-64,4,5,5,4,2,2,2,4,2
841,Male,45-54,4,5,4,5,1,2,3,4,3
842,Male,45-54,3,4,3,3,4,5,3,5,4
843,Male,18-24,3,5,3,5,3,3,4,5,3
844,Male,65+,2,3,4,3,2,2,2,5,5
845,Male,45-54,3,3,4,2,3,3,2,3,3
846,Male,55-64,2,3,5,4,3,4,2,2,3
847,Female,45-54,2,4,2,4,3,4,4,4,3
848,Male,35-44,3,3,3,3,3,3,4,4,3
849,Female,25-34,4,2,1,4,4,4,4,4,3
850,Female,55-64,2,3,4,2,1,2,5,3,3
851,Male,45-54,5,1,2,2,1,3,4,4,3
852,Female,45-54,4,3,3,5,3,1,3,3,5
853,Female,35-44,2,2,4,1,4,4,3,3,3
854,Female,65+,4,2,4,4,2,2,4,3,5
855,Female,18-24,5,3,1,4,4,3,3,3,5
856,Male,45-54,5,2,4,2,3,2,5,2,4
857,Male,25-34,5,3,3,3,5,1,3,3,3
858,Male,35-44,3,4,3,3,4,2,5,4,1
859,Female,25-34,3,2,3,4,4,1,4,4,3
860,Female,55-64,5,4,4,5,4,4,4,4,5
861,Female,35-44,2,4,3,4,3,4,3,4,3
862,Female,25-34,4,3,3,5,5,3,2,5,3
863,Male,45-54,4,3,3,5,4,4,2,5,3
864,Female,65+,2,2,2,4,1,2,4,5,5
865,Male,35-44,1,2,4,4,5,3,3,3,4
866,Male,55-64,2,2,4,4,1,3,3,4,2
867,Female,45-54,3,2,3,5,3,2,3,4,4
868,Female,45-54,4,2,3,3,1,1,3,3,4
869,Male,18-24,2,1,4,2,4,3,1,5,3
870,Male,55-64,3,1,4,1,5,3,3,3,4
871,Female,35-44,3,4,3,4,2,2,2,4,3
872,Male,25-34,3,3,3,3,2,5,4,4,2
873,Female,45-54,3,3,3,1,2,3,2,4,3
874,Female,35-44,1,4,4,2,4,3,4,4,3
875,Female,35-44,3,5,5,4,3,3,4,4,3
876,Male,35-44,3,4,3,3,4,4,4,5,3
877,Female,65+,3,3,3,1,4,2,3,1,3
878,Male,55-64,5,4,4,4,1,3,4,2,5
879,Male,25-34,4,4,3,2,2,4,1,4,3
880,Female,35-44,5,3,4,5,4,1,4,4,3
881,Male,35-44,4,2,4,3,3,5,4,2,3
882,Male,25-34,4,5,4,2,2,4,3,4,4
883,Male,45-54,4,4,3,5,2,5,2,3,3
884,Female,35-44,2,4,2,4,4,1,3,3,3
885,Female,55-64,2,2,4,5,2,2,5,3,5
886,Female,25-34,4,3,1,3,3,3,4,4,3
887,Female,45-54,5,4,5,3,3,2,4,5,5
888,Female,35-44,3,4,4,2,5,3,4,5,3
889,Male,55-64,4,3,4,5,1,1,1,4,4
890,Female,25-34,4,2,2,4,4,3,4,2,2
891,Female,25-34,3,3,2,4,4,4,4,4,3
892,Female,35-44,1,2,4,1,4,2,1,4,3
893,Male,35-44,2,3,3,2,3,3,4,2,4
894,Female,18-24,4,3,4,4,5,1,4,5,4
895,Female,45-54,4,3,3,4,4,2,4,4,4
896,Male,18-24,4,2,2,2,5,2,3,5,3
897,Male,65+,5,5,5,3,4,3,2,4,3
898,Female,55-64,4,4,3,5,3,1,3,1,3
899,Female,45-54,5,3,1,1,3,4,4,5,4
900,Female,35-44,2,5,3,3,4,4,4,4,4
901,Male,35-44,4,4,4,4,2,4,4,4,3
902,Male,25-34,4,2,5,4,5,5,3,5,4
903,Male,45-54,5,3,3,3,3,3,2,1,1
904,Female,25-34,3,4,3,4,1,4,5,2,3
905,Male,25-34,3,3,3,4,3,5,5,2,2
906,Female,25-34,4,1,4,4,1,3,3,4,3
907,Female,25-34,4,1,4,3,3,3,5,3,3
908,Male,25-34,3,2,3,1,3,4,5,4,4
909,Male,55-64,5,4,3,5,5,4,2,4,4
910,Female,65+,3,3,3,2,3,2,2,3,1
911,Male,25-34,1,4,3,2,4,3,4,2,4
912,Female,25-34,1,5,5,3,4,4,5,3,4
913,Male,45-54,3,2,4,2,1,4,3,3,4
914,Female,25-34,5,3,3,3,3,3,5,3,1
915,Male,25-34,4,4,5,1,4,4,1,3,5
916,Male,18-24,2,3,3,2,4,2,3,2,5
917,Male,35-44,2,3,3,3,4,2,4,2,4
918,Female,55-64,3,3,4,5,1,4,4,4,5
919,Male,45-54,3,3,4,4,2,4,4,4,4
920,Female,25-34,5,3,5,5,4,4,4,3,5
921,Male,25-34,2,4,3,3,3,2,2,3,2
922,Male,55-64,2,3,4,3,5,3,4,3,4
923,Male,35-44,4,3,3,4,4,4,3,4,4
924,Male,45-54,3,3,2,2,3,5,2,3,1
925,Male,45-54,3,3,4,3,2,2,3,4,4
926,Female,45-54,2,3,4,3,3,5,3,2,4
927,Male,18-24,3,3,2,4,3,3,4,5,5
928,Male,25-34,5,3,3,5,4,5,2,2,5
929,Male,35-44,4,3,5,3,4,4,4,5,3
930,Female,25-34,5,3,3,4,4,4,3,1,4
931,Male,55-64,4,2,4,5,2,3,4,3,2
932,Female,25-34,3,3,4,5,4,5,4,4,2
933,Female,55-64,3,3,5,3,3,2,2,4,5
934,Female,45-54,3,3,4,4,4,1,3,4,3
935,Female,18-24,4,5,4,3,4,2,4,4,5
936,Male,18-24,3,4,3,4,1,3,2,3,5
937,Male,18-24,1,3,4,4,3,2,2,5,4
938,Male,35-44,3,3,1,3,2,4,3,5,3
939,Male,65+,4,3,5,5,3,2,2,3,3
940,Female,45-54,3,3,3,2,4,3,3,4,2
941,Female,65+,3,2,4,4,4,1,1,3,3
942,Male,25-34,3,3,5,3,3,2,4,3,3
943,Female,35-44,3,4,5,2,4,2,2,4,3
944,Male,35-44,1,3,5,3,5,2,4,5,4
945,Female,65+,4,3,3,4,3,3,2,4,1
946,Male,45-54,5,3,2,3,4,1,3,3,4
947,Female,35-44,4,5,4,3,4,3,4,2,3
948,Female,65+,3,3,5,3,3,2,5,3,3
949,Female,55-64,3,2,3,4,4,2,1,4,5
950,Female,35-44,5,2,4,4,4,4,4,3,5
951,Male,45-54,4,1,4,4,3,2,3,4,4
952,Female,18-24,2,3,4,3,4,2,5,2,3
953,Male,35-44,4,2,3,5,4,4,4,2,3
954,Female,25-34,4,2,3,3,4,3,4,5,4
955,Male,55-64,2,1,1,5,4,2,3,4,4
956,Female,65+,5,4,4,5,4,4,3,5,4
957,Female,55-64,2,3,1,2,4,2,3,3,3
958,Male,25-34,2,1,4,3,2,1,3,2,5
959,Female,55-64,3,3,4,1,3,3,3,2,5
960,Female,35-44,2,1,3,5,5,5,4,4,3
961,Male,25-34,1,4,4,2,5,3,4,4,3
962,Male,45-54,4,3,3,3,3,1,3,3,5
963,Male,25-34,1,3,3,4,4,4,1,5,5
964,Female,35-44,4,1,3,4,4,4,3,4,2
965,Female,35-44,4,2,3,3,1,3,4,3,4
966,Male,55-64,3,2,2,2,1,4,1,1,4
967,Female,25-34,1,2,4,3,3,1,3,4,5
968,Female,45-54,3,1,4,3,4,2,2,2,4
969,Male,45-54,2,4,4,3,4,2,3,4,4
970,Female,45-54,3,1,3,4,1,3,1,4,2
971,Male,45-54,3,3,5,4,1,4,3,4,4
972,Male,25-34,2,2,5,4,4,3,5,3,5
973,Male,35-44,5,3,3,2,2,4,4,2,4
974,Male,35-44,5,1,4,1,3,4,4,3,4
975,Male,25-34,3,2,3,5,4,3,4,4,4
976,Female,35-44,4,5,4,3,5,2,4,4,4
977,Female,35-44,3,3,2,3,3,2,2,5,5
978,Male,65+,3,2,4,5,2,3,1,5,3
979,Female,35-44,2,4,3,2,4,4,5,3,4
980,Female,45-54,2,1,3,4,3,3,4,3,3
981,Male,25-34,1,4,4,4,3,1,2,4,5
982,Female,35-44,5,4,3,4,3,3,5,2,4
983,Male,55-64,3,1,5,3,3,2,4,3,1
984,Female,55-64,3,5,1,4,4,1,3,4,4
985,Female,35-44,4,4,3,2,2,5,4,3,2
986,Female,35-44,5,2,3,3,4,1,4,2,3
987,Male,45-54,2,3,4,5,4,4,4,3,1
988,Male,35-44,5,3,5,3,4,1,4,3,3
989,Female,55-64,2,1,3,2,4,3,2,5,3
990,Female,55-64,3,3,5,4,3,2,2,4,5
991,Female,65+,3,3,3,4,4,3,3,2,5
992,Male,35-44,4,3,4,3,4,4,3,4,1
993,Male,25-34,5,3,1,4,2,3,4,3,3
994,Female,18-24,3,2,3,2,2,2,3,4,1
995,Female,18-24,4,2,5,3,4,3,3,2,5
996,Female,65+,4,3,4,3,3,4,2,4,5
997,Female,35-44,5,3,5,4,4,5,4,2,3
998,Male,55-64,3,2,5,3,4,3,3,5,3
999,Female,45-54,4,3,2,4,2,4,4,5,5
1000,Female,25-34,3,3,5,3,2,3,2,2,2
1001,Male,55-64,5,5,2,4,5,3,4,4,4
1002,Male,55-64,5,3,4,3,2,2,3,4,5
1003,Male,35-44,4,2,4,3,5,3,4,5,3
1004,Female,35-44,4,5,3,1,2,5,5,4,5
1005,Female,65+,4,4,5,2,3,1,3,4,3
1006,Male,45-54,3,5,2,5,3,3,3,3,5
1007,Male,35-44,4,1,3,5,3,3,2,4,3
1008,Female,45-54,3,3,3,3,1,3,3,2,5
1009,Female,35-44,1,3,3,2,4,3,4,4,5
1010,Female,35-44,2,2,5,4,4,4,5,5,4
1011,Female,18-24,4,2,5,2,4,3,1,4,5
1012,Male,55-64,2,2,3,3,3,4,4,4,3
1013,Male,45-54,3,1,4,3,1,4,3,4,5
1014,Female,35-44,3,3,3,3,4,4,3,2,4
